date,temperature,humidity,luminosity
2020-12-03 16:27:42.829,18.6,13.8,189
2020-12-03 16:27:40.551,18.6,13.8,187
2020-12-03 16:27:38.274,18.6,13.8,189
2020-12-03 16:27:35.997,18.6,13.8,189
2020-12-03 16:27:33.719,18.6,13.8,186
2020-12-03 16:27:31.438,18.7,13.9,189
2020-12-03 16:27:29.160,18.6,13.8,192
2020-12-03 16:27:26.883,18.6,13.9,192
2020-12-03 16:27:24.606,18.6,13.9,192
2020-12-03 16:27:22.324,18.6,13.9,192
2020-12-03 16:27:20.047,18.7,14.0,192
2020-12-03 16:27:17.770,18.6,14.0,192
2020-12-03 16:27:15.492,18.6,13.9,192
2020-12-03 16:27:13.215,18.6,13.9,192
2020-12-03 16:27:10.933,18.6,13.9,190
2020-12-03 16:27:08.656,18.6,13.9,160
2020-12-03 16:27:06.379,18.7,13.9,192
2020-12-03 16:27:04.101,18.7,13.9,191
2020-12-03 16:27:01.824,18.7,13.9,187
2020-12-03 16:26:59.543,18.7,13.9,192
2020-12-03 16:26:57.265,18.6,13.9,192
2020-12-03 16:26:54.988,18.7,14.0,192
2020-12-03 16:26:52.711,18.7,13.9,192
2020-12-03 16:26:50.429,18.7,13.9,192
2020-12-03 16:26:48.152,18.6,13.8,192
2020-12-03 16:26:45.875,18.6,13.8,189
2020-12-03 16:26:43.597,18.6,13.7,191
2020-12-03 16:26:41.320,18.6,13.7,190
2020-12-03 16:26:39.038,18.6,13.7,191
2020-12-03 16:26:36.761,18.6,13.7,191
2020-12-03 16:26:34.484,18.6,13.7,191
2020-12-03 16:26:32.206,18.6,13.8,190
2020-12-03 16:26:29.929,18.6,13.8,190
2020-12-03 16:26:27.648,18.6,13.8,190
2020-12-03 16:26:25.370,18.6,13.8,190
2020-12-03 16:26:23.093,18.6,13.8,190
2020-12-03 16:26:20.815,18.6,13.8,190
2020-12-03 16:26:18.538,18.6,13.8,190
2020-12-03 16:26:16.256,18.6,13.8,191
2020-12-03 16:26:13.979,18.6,13.7,190
2020-12-03 16:26:11.702,18.6,13.7,190
2020-12-03 16:26:09.424,18.6,13.7,190
2020-12-03 16:26:07.147,18.6,13.7,192
2020-12-03 16:26:04.865,18.6,13.7,192
2020-12-03 16:26:02.588,18.6,13.7,187
2020-12-03 16:26:00.311,18.6,13.7,185
2020-12-03 16:25:58.033,18.6,13.7,186
2020-12-03 16:25:55.756,18.6,13.8,181
2020-12-03 16:25:53.475,18.5,13.8,174
2020-12-03 16:25:51.197,18.6,13.8,177
2020-12-03 16:25:48.920,18.5,13.8,190
2020-12-03 16:25:46.643,18.5,13.8,192
2020-12-03 16:25:44.365,18.5,13.8,192
2020-12-03 16:25:42.084,18.5,13.8,192
2020-12-03 16:25:39.807,18.5,13.8,192
2020-12-03 16:25:37.529,18.5,13.8,191
2020-12-03 16:25:35.252,18.5,13.7,192
2020-12-03 16:25:32.975,18.5,13.7,192
2020-12-03 16:25:30.693,18.5,13.7,191
2020-12-03 16:25:28.416,18.5,13.7,191
2020-12-03 16:25:26.138,18.5,13.6,192
2020-12-03 16:25:23.861,18.5,13.5,191
2020-12-03 16:25:21.584,18.5,13.5,192
2020-12-03 16:25:19.306,18.5,13.4,192
2020-12-03 16:25:17.025,18.5,13.4,191
2020-12-03 16:25:14.748,18.6,13.4,192
2020-12-03 16:25:12.470,18.6,13.3,192
2020-12-03 16:25:10.193,18.6,13.3,192
2020-12-03 16:25:07.912,18.6,13.3,192
2020-12-03 16:25:05.634,18.6,13.3,192
2020-12-03 16:25:03.357,18.6,13.3,192
2020-12-03 16:25:01.080,18.6,13.3,179
2020-12-03 16:24:58.798,18.6,13.2,189
2020-12-03 16:24:56.521,18.6,13.2,187
2020-12-03 16:24:54.243,18.5,13.2,181
2020-12-03 16:24:51.966,18.6,13.2,173
2020-12-03 16:24:49.689,18.6,13.2,173
2020-12-03 16:24:47.407,18.8,13.3,173
2020-12-03 16:24:45.130,18.9,13.4,174
2020-12-03 16:24:42.853,18.9,13.4,176
2020-12-03 16:24:40.575,19.0,13.4,176
2020-12-03 16:24:38.298,19.0,13.4,176
